dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.928724,2.421683,3.181953,2.495951,0.345924,-1.325252,5.766208
0.020000,3.972439,2.397315,3.232001,2.502393,0.322083,-1.192050,5.783259
0.020000,4.016682,2.373663,3.282169,2.508425,0.301618,-1.023275,5.801431
0.020000,4.061462,2.350793,3.332452,2.514141,0.285778,-0.792011,5.820743
0.020000,4.106788,2.328769,3.382845,2.519653,0.275614,-0.508162,5.841206
0.020000,4.152666,2.307658,3.433347,2.525101,0.272402,-0.160638,5.862823
0.020000,4.199103,2.287526,3.483960,2.530649,0.277422,0.251039,5.885588
0.020000,4.246001,2.268481,3.534577,2.530864,0.010737,-13.334255,5.909432
0.020000,4.293051,2.250691,3.584879,2.515073,-0.789570,-40.015373,5.934153
0.020000,4.339947,2.234291,3.634559,2.484028,-1.552232,-38.133098,5.959519
0.020000,4.386583,2.219311,3.683542,2.449141,-1.744363,-9.606541,5.985386
0.020000,4.432957,2.205739,3.731861,2.415971,-1.658484,4.293943,6.011657
0.020000,4.479067,2.193557,3.779553,2.384582,-1.569464,4.451013,6.038233
0.020000,4.524909,2.182746,3.826653,2.355012,-1.478516,4.547385,6.065010
0.020000,4.570482,2.173281,3.873199,2.327266,-1.387261,4.562744,6.091888
0.020000,4.615782,2.165137,3.919225,2.301323,-1.297154,4.505375,6.118763
0.020000,4.660806,2.158284,3.964768,2.277120,-1.210161,4.349648,6.145538
0.020000,4.705550,2.152691,4.009859,2.254578,-1.127083,4.153910,6.172120
0.020000,4.750007,2.148324,4.054531,2.233588,-1.049540,3.877106,6.198422
0.020000,4.794174,2.145149,4.098811,2.214014,-0.978704,3.541838,6.224364
0.020000,4.838844,2.142879,4.143539,2.236376,1.118134,104.841879,6.238553
0.020000,4.886558,2.141062,4.191287,2.387438,7.553105,321.748557,6.251821
0.020000,4.933570,2.139910,4.238314,2.351326,-1.805623,-467.936410,6.265659
0.020000,4.979863,2.139429,4.284609,2.314748,-1.828881,-1.162913,6.280094
0.020000,5.025415,2.139628,4.330161,2.277625,-1.856146,-1.363230,0.011970
0.020000,5.070205,2.140513,4.374961,2.239975,-1.882510,-1.318220,0.027687
0.020000,5.114213,2.142089,4.418997,2.201800,-1.908745,-1.311749,0.044091
0.020000,5.157415,2.144362,4.462258,2.163054,-1.937322,-1.428851,0.061213
0.020000,5.199785,2.147335,4.504733,2.123742,-1.965576,-1.412679,0.079084
0.020000,5.241300,2.151011,4.546410,2.083869,-1.993656,-1.403993,0.097737
0.020000,5.281934,2.155391,4.587279,2.043441,-2.021420,-1.388190,0.117202
0.020000,5.321659,2.160473,4.627328,2.002473,-2.048412,-1.349601,0.137511
0.020000,5.360450,2.166256,4.666548,1.960991,-2.074079,-1.283372,0.158691
0.020000,5.398280,2.172735,4.704929,1.919036,-2.097764,-1.184230,0.180770
0.020000,5.435123,2.179903,4.742462,1.876662,-2.118696,-1.046627,0.203771
0.020000,5.470952,2.187750,4.779141,1.833942,-2.135995,-0.864958,0.227713
0.020000,5.505745,2.196266,4.814960,1.790968,-2.148673,-0.633884,0.252611
0.020000,5.539478,2.205435,4.849918,1.747855,-2.155648,-0.348746,0.278472
0.020000,5.572132,2.215242,4.884012,1.704746,-2.155484,0.008178,0.305297
0.020000,5.603691,2.225667,4.917248,1.661791,-2.147736,0.387436,0.333077
0.020000,5.634141,2.236688,4.949632,1.619174,-2.130862,0.843683,0.361793
0.020000,5.663474,2.248284,4.981174,1.577104,-2.103489,1.368633,0.391413
